nombre,marca,puntuacion,informativo,cal_pequeño_y_manejable,cal_deportivo,cal_bueno_y_barato,cal_practico,cal_ecologico,cal_atractivo,lo_mejor,lo_malo
Range Rover PHEV,Land Rover,,,1,1,1,1,8,5,"Diseño, interior de película, silencio de marcha, acabados, confort, aptitudes todoterreno","Ni puedes pagarlo, ni puedes aparcarlo, ni puedes mantenerlo"
Range Rover,Land Rover,,,1,1,1,1,1,5,"Diseño, interior, calidad de acabados, capacidades todoterreno en otra liga, suspensión neumática",La experiencia en carretera es la de un salón rodante con mucha inercia
Porsche 911 Cabrio,Porsche,,,1,8,1,1,2,8,,
Audi RS6 Avant,Audi,,,1,7,1,1,1,5,,
BMW M5,BMW,,,1,7,1,1,1,5,"Prestaciones, comportamiento, practicidad, seguridad, sensaciones al volante",Precio desorbitado
BMW M8 Coupé,BMW,,,1,8,1,1,1,8,,
BMW X6 M,BMW,,,1,5,1,1,1,4,,
Audi RS7 Sportback,Audi,,,1,7,1,1,1,6,,
BMW i8,BMW,"4,0","""El coche más innovador que jamás hayamos creado"", BMW dixit",1,8,1,1,8,10,"El futuro del deportivo se puede comprar hoy, increíble sensación prestacional, silencio de marcha, consumos muy bajos, estética rompedora","Maletero casi inexistente, imposible pasar desapercibido en este coche"
Porsche Cayenne Turbo,Porsche,,,1,7,1,1,1,5,"Prestaciones, tacto al volante, comportamiento, practicidad real","Precio, coste de opciones, consumos y todo lo que tenga que ver con tenerlo y mantenerlo"
BMW M6 Gran Coupe,BMW,,,1,7,1,8,1,7,"Prestaciones, practicidad, estética exclusiva, comportamiento","Precio elevado, altura en las plazas traseras"
Mercedes-AMG GT 4 Puertas,Mercedes-Benz,,,1,7,1,1,1,7,,
Porsche Panamera Turbo,Porsche,,,1,7,1,4,1,8,"Pretastaciones puras, aceleración, comportamiento, exclusividad","Precio, consumo y todo lo que tenga que ver con el coste de mantener este coche funcionando"
Audi R8,Audi,"4,4",Un verdadero deportivo capaz de conciliar el circuito y el día a día,1,8,1,1,1,9,,
Mercedes-AMG GT,Mercedes-Benz,,,1,8,1,1,2,8,,
Audi R8 Spyder,Audi,"4,4",Deportivo descapotable y biplaza capaz de conciliar el circuito y el día a día,1,8,1,1,1,10,,
Bentley Bentayga,Bentley,,,1,2,1,1,1,7,"Calidad de construcción, exclusividad, materiales, prestaciones, capacidad real off-road (aunque no lo parezca)","Precio elevado, consumo desorbitado y ostentación sin límites son sus tres banderas"
Lamborghini Huracán,Lamborghini,,,1,10,1,1,1,10,"Motor V10, sonido, diseño exterior, versión de tracción trasera","Diseño y calidad interior mejorables, suspensión demasiado firme para carretera"
Lamborghini Urus,Lamborghini,"3,9",Llamando la atención allá donde va desde 2017,1,8,1,7,1,8,"Nivel prestacional, estética diferenciada, espectacularidad","Precio desorbitado, imposible pasar desapercibido"
Fiat 500C,Fiat,"3,4",El utilitario más 'chic',8,1,5,1,4,7,"Diseño atractivo, precio ajustado, practicidad","Maletero justo, calidad de algunos plásticos"
SsangYong XLV,SsangYong,"3,1",Buena relación precio-habitabilidad-equipamiento,1,1,5,8,2,1,"Maletero, amplitud plazas traseras, equipamiento, precio asequible, garantía","Calidad de algunos plásticos, motor de gasolina algo justo, sin opción 4x4, estética indigesta"
Ford Focus Active,Ford,,,1,2,5,1,2,3,,
Hyundai Kona HEV,Hyundai,"3,6",La opción con etiqueta ambiental ECO de la DGT,1,1,5,1,7,3,"Consumos, etiqueta ECO, equipamiento completo","Autonomía eléctrica limitada, precio sin ofertas"
Ford Focus Sportbreak Active,Ford,,,1,1,5,1,2,3,,
Citroën C5 Aircross,Citroën,"3,3",Original y atractivo,1,1,5,1,2,3,"Versatilidad, presentación, posibilidades de equipamiento y personalización, confort","Calidad de algunos plásticos, sin tracción total, solo con cinco plazas,"
Honda Civic Sedán,Honda,,,1,3,2,6,2,2,,
Volkswagen Passat Variant,Volkswagen,"4,1","Un enorme familiar de buena calidad, recién renovado",1,1,1,1,2,5,"Calidad de construcción, espacio interior, maletero, gama de motores, estética atractiva","Precio muy elevado, precio de opciones"
Skoda Octavia Combi MHEV,Skoda,,,1,1,5,1,6,2,,
Lexus UX,Lexus,"3,6","Híbrido, dinámico y atractivo",1,1,1,1,7,5,"Calidad de acabados, consumos ajustados, equipo completo","Precios elevados, cambio CVT ruidoso, autonomía eléctrica reducida"
BMW Serie 2 Gran Tourer,BMW,"3,4","Más capaz que el Active Tourer, está muy bien acabado",1,1,1,1,2,2,"Calidad de acabados, exclusividad, tacto de conducción, gama de motores","Precio elevado, opciones caras, diseño exterior algo extraño en esta versión larga"
Peugeot 3008 PHEV,Peugeot,"3,6",La opción más cara y exclusiva del 3008,1,1,1,1,8,3,"Etiqueta Cero, posibilidad de tracción integral, silencio de marcha, comportamiento en ciudad","Exceso de peso y exceso de precio, sin dejar de ser un 3008"
Mazda 6 Wagon,Mazda,"4,0",Familiar al mismo precio que el Sedán,1,3,5,8,2,4,"Maletero, motores eficientes, comportamiento","Calidad de algunos plásticos, equipamiento cerrado"
Subaru XV HEV,Subaru,,,1,1,1,1,7,2,,
BMW Serie 2 Coupé,BMW,"3,5",Un capricho también disponible con carrocería descapotable,1,5,1,1,2,4,"Dinámica de conducción, prestaciones, gama de motores, tracción trasera","Interior algo clásico, precio de las opciones"
Jaguar E-Pace,Jaguar,"3,6",Diseño y tecnología en formato compacto,1,2,1,5,2,5,"Diseño, gama de motores variada, posibilidades de equipamiento","Calidad de algunos plásticos, precio elevado, equipo de serie justo"
Kia Optima PHEV,Kia,,,1,2,6,4,8,2,"Precio razonable (para un PHEV), comodidad, amplitud silencio, calidad de construcción","Precio elevado (para un Kia Optima), ineficiencia en carretera, exige punto de recarga en el garaje para tener sentido"
Jeep Renegade TrailHawk,Jeep,,,1,1,1,5,1,3,,
Volvo XC40 PHEV,Volvo,,,1,2,1,1,8,5,,
Volvo S90,Volvo,"4,4",La alternativa exótica al trío alemán,1,2,1,6,2,5,"Diseño espectacular, calidad de construcción, estética y materiales en el interior, comportamiento sorprendente, consumos ajustados","Precio elevado, hemos observado fallos repetidos en el navegador en diferentes unidades, maletero justo"
Land Rover Discovery Sport,Land Rover,"3,4",Un Evoque con más espacio y hasta 7 plazas. Precioso.,1,1,1,1,2,5,"Posibilidad de 7 plazas, diseño general, calidad de construcción, aptitudes todoterreno, etiqueta ECO","Precio elevado, prestaciones justas, suspensión algo seca, difícil acceso a las plazas auxiliares"
Audi Q3 Sportback,Audi,"3,6",Una interesante opción para los que buscan un SUV de diseño más dinámico,1,2,1,1,2,4,"Estética, calidad de acabados, gama variada","Precio elevado, opciones caras, plaza central trasera justa"
Audi A4 Avant,Audi,"4,1",Excelente calidad de acabados y unas posibilidades de equipamiento muy amplias,1,2,1,1,2,3,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
Volvo V60 Cross Country,Volvo,,,1,1,1,1,2,4,"Estética, diseño interior, calidad de construcción, comodidad, confort de los asientos para largos viajes","Navegador poco fiable, precio elevado, maletero justo"
Audi A4 Allroad,Audi,,,1,2,1,1,2,5,"Estética, calidad de acabados, diseño interior, equipamiento completo","Precio muy elevado, opciones caras, tacto de conducción insípido"
Land Rover Discovery Sport MHEV,Land Rover,,,1,1,1,1,6,5,,
Volvo V60,Volvo,"4,0","Diseño, buenos acabados y equipo correcto en todas las versiones",1,1,1,1,2,3,"Diseño interior y exterior, seguridad, exclusividad, calidad","Precios, gama inicial limitada, dotación de serie algo justa"
BMW Serie 3 Touring,BMW,"3,5",El familiar premium más dinámico y con los mejores motores del mundo,1,3,1,1,2,3,"Tacto de conducción, prestaciones, consumos","Espacio limitado para un familiar, interior clásico, precios"
Audi A3 PHEV,Audi,,,1,3,1,5,8,3,,
Volvo V90,Volvo,"4,4",Mucho espacio para la familia y un diseño muy atractivo,1,1,1,7,2,4,"Diseño espectacular, calidad de construcción, estética y materiales en el interior, comportamiento sorprendente, consumos ajustados","Precio elevado, hemos observado fallos repetidos en el navegador en diferentes unidades, maletero justo"
Mercedes Clase B PHEV,Mercedes-Benz,,,1,1,1,1,8,3,,
BMW X1 PHEV,BMW,,,1,3,1,1,8,4,,
Volvo V90 Cross Country,Volvo,,,1,1,1,7,1,7,"Estética muy atractiva, diseño y calidad interior, confort de marcha, tecnología de seguridad","Maletero algo justo para el tamaño del coche, navegador con tendencia a fallar"
Mercedes Clase C Estate,Mercedes-Benz,"3,8","Recién actualizado con importantes mejoras en diseño, equipamiento y motores.",1,2,1,1,2,3,"Diseño interior y exterior, exclusividad, tacto de conducción","Calidad de plásticos y ajustes mejorable, motores diésel ruidosos"
BMW Serie 4,BMW,"3,9",Un coche de capricho para disfrutar de verdad al volante,1,4,1,2,2,5,"Tacto de conducción, gama de motores, prestaciones, estética","Precio elevado, precio de opciones aún más elevado"
Audi A5,Audi,"3,8",Aires dinámicos para el deportivo medio de Audi,1,4,1,1,2,5,"Calidad de construcción, tecnología, diseño interior","Comportamiento aburrido, precio elevado"
Land Rover Discovery Sport PHEV,Land Rover,,,1,1,1,1,8,5,,
Audi A6,Audi,,,1,2,1,1,2,3,,
BMW X4,BMW,"3,6","BMW X4, un SUV premium que ofrece imagen, exclusividad y tecnología",1,1,1,1,2,4,"Estética deportiva y exclusiva, tacto de conducción, gama de motores","Precio desorbitado, versatilidad limitada por la forma del techo"
Mercedes Clase E,Mercedes-Benz,"3,9",Calidad elevada y tecnología a la última,1,2,1,1,2,3,"Niveles de asistencia y seguridad, diseño interior y exterior, tacto de conducción, nivel tecnológico apabullante, equipo de iluminación","Suspensión demasiado firme, parecido con Clase C"
Audi A6 Avant,Audi,,,1,1,1,1,2,3,,
BMW Serie 5,BMW,"3,8",Calidad y tecnología a la última para la berlina media alemana,1,3,1,1,2,3,"Empaque, tecnología de vanguardia, comportamiento, gama de motores, seguridad y asistencias a la conducción",Estética demasiado clásica
Volkswagen Touareg,Volkswagen,,,1,1,1,1,2,3,"Tecnología, calidad de construcción, capacidades off-road razonables, agilidad del sistema 4WS","Pantalla central inabarcable de un vistazo, estética insulsa, falta de diferenciación"
Volvo XC60 PHEV,Volvo,,,1,1,1,1,8,5,"Tecnología, equipamiento, diseño, confort, prestaciones","Es un híbrido enchufable: caro, pesado e ineficiente, aunque pueda moverse en modo eléctrico algunos kilómetros"
Land Rover Discovery,Land Rover,,,1,1,1,6,1,3,"Capacidades todoterreno reales, confort, equipamiento, diseño atractivo",Demasiado grande y pesado para ser ágil o divertido al volante. No se puede tener todo.
Mercedes GLE,Mercedes-Benz,,,1,1,1,1,1,6,"Diseño, calidades, posibilidad de 7 plazas, capacidad todoterreno","Precio elevado, opciones caras"
Mercedes CLS,Mercedes-Benz,,,1,4,1,1,1,5,,
BMW X5,BMW,,,1,1,1,1,1,3,"Tacto de conducción, tecnología, calidades, diseño","Precio elevado, opciones caras"
Range Rover Velar PHEV,Land Rover,,,1,2,1,1,8,6,,
BMW X6,BMW,"3,6","El BMW X6 es un X5 menos práctico, menos espacioso, más musculoso y más caro",1,4,1,1,1,4,"Tacto de conducción, gama de motores, estética súper-bestia","Versatilidad limitada por la forma del techo, practicidad, precio excesivo"
Audi Q7,Audi,"4,2",Equipamiento y tecnología para el SUV más lujoso de Audi,1,1,1,1,1,5,"Espacio interior, calidad de construcción, tecnología, diseño interior","Proporciones exteriores algo raras, precio"
Tesla Model S,Tesla,"4,1","Berlina prestacional, eléctrica y con autonomía superior a los 500 Km por carga",1,7,1,1,10,7,"Prestaciones de vértigo, silencio de marcha, exclusividad, estética diferenciada","Detalles de acabado, diseño interior algo forzado por la pantalla"
Jaguar F-Pace PHEV,Jaguar,,,1,2,1,1,8,4,,
Porsche Cayenne,Porsche,,,1,5,1,9,1,4,"Tacto deportivo, prestaciones, calidad general, tecnología, diseño, practicidad real","Precio, consumos y costes en general fuera del alcance de la gran mayoría"
Mercedes Clase S,Mercedes-Benz,"4,4","¿El mejor automóvil del mundo? Si existiese semejante cosa, este sería un candidato",1,2,1,6,2,6,"Tecnología de vanguardia, confort de marcha supremo, niveles de seguridad y asistencia, prestaciones, espacio interior","La sensación de que vas conduciendo el coche de tu padre, tengas la edad que tengas, parecido con Clase E"
BMW Serie 7,BMW,,,1,3,1,1,2,4,,
Audi A8,Audi,,,1,2,1,1,2,3,,
Porsche 911,Porsche,,,1,8,1,1,2,8,"Tradición, personalidad, tecnología, tacto de dirección, sensaciones, sonido, estética","Este es el coche por el que se miden los demás coches, no hay nada que mejorar"
Porsche Macan Turbo,Porsche,,,1,6,1,1,1,4,,
Kia Picanto,Kia,"3,4",Un urbano muy atractivo y de lo más interesante,1,1,7,1,5,2,"Diseño, habitabilidad, posibilidades de equipamiento","Suspensión blanda, caja automática con 4 velocidades"
Mitsubishi Space Star,Mitsubishi,"3,1",Un urbano muy equipado a un precio justo.,6,1,5,4,5,2,"Precio de derribo, equipamiento completo","Calidad de acabados, diseño exterior extraño, sensación general de low-cost"
Renault Twingo,Renault,"3,4","La nueva referencia de los micro-urbanos. Espacioso, práctico y diverdido.",1,1,5,1,5,4,"Cinco puertas, gama de motores con 75 y 94 CV, caja de doble embrague, equipamiento","Precio algo elevado, aspecto de algunos plásticos, calor en maletero"
Hyundai i10,Hyundai,"3,6","Pequeño, manejable, y muy equipado",1,1,7,1,5,2,"Seguridad, practicidad, maniobrabilidad, aprovechamiento interior","Precio algo elevado, cambio robotizado, sin opción alternativa"
Fiat Tipo,Fiat,"3,1",Mucho espacio a un precio realmente tentador,1,1,7,6,2,2,"Precio demoledor, diseño, maletero gigantesco","Acceso al maletero, calidad de algunos plásticos, detalles de acabado"
Kia Rio,Kia,"3,4",Una opción interesante por su equilibrio general,3,1,7,5,4,2,"Relación valor-precio, equipamiento razonable, maletero","Suspensión blanda, calidad de los plásticos"
Skoda Fabia,Skoda,"3,4",Un utilitario en el que tecnología y precio van de la mano,1,1,7,1,4,2,"Amplitud, maletero, soluciones prácticas","Plásticos duros, equipo de serie, sin motor diésel"
Citroën C3,Citroën,"3,3","Personalizable y diferente, el C3 trata de conquistar a los más inconformistas",1,1,8,1,4,2,"Precio, espacio interior, diseño atrevido, detalles de equipamiento",Calidad de algunos plásticos
Citroën C1,Citroën,"3,1",El coche mínimo de Citroën,9,1,7,2,5,2,"Precio, economía de mantenimiento, maniobrabilidad","Plásticos interiores, prestaciones justas con el motor 1.0 VTI"
Toyota Aygo,Toyota,"3,1",Uno de los urbanos más asequibles.,1,1,5,1,5,2,"Precio competitivo, espacio interior razonable","Calidades interiores justas, plataforma antigua, prestaciones limitadas a ciudad"
Opel Corsa,Opel,"3,6","Un clásico entre los utilitarios, recién renovado",3,1,5,5,4,1,"Precio competitivo, equipamiento básico completo","Calidad de algunos plásticos, diseño anodino, tacto de conducción aburrido"
Hyundai i20,Hyundai,"3,5",Algo caro pero muy personal en diseño,1,1,7,1,4,1,"Calidad de fabricación, equipamiento, diseño personal","Diseño personal, precio elevado, sin opción diésel"
Kia Ceed Tourer,Kia,"3,6",Un familiar con una buena relación calidad-precio,1,1,6,9,2,2,"Maletero, garantía, presentación, tecnología","Aspecto de algunos plásticos, línea algo clásica frente al Proceed"
Citroën C-Elysée,Citroën,"1,9",Cinco plazas y un maletero de 507 litros por un precio mínimo,1,1,6,1,2,1,"Precio, maletero, amplitud general","Percepción low-cost general, diseño, plataforma muy antigua"
Fiat 500L,Fiat,"3,1",El encanto del 500 en tamaño grande,1,1,5,7,2,3,"Relación espacio/precio, estética atractiva","Percepción de calidad, comportamiento dinámico torpe"
Dacia Lodgy Stepway,Dacia,,,1,1,7,10,2,1,,
Fiat Panda 4x4,Fiat,"3,6",Un utilitario con aptitudes off-road asequible,1,1,6,1,4,2,"Precio, comportamiento en campo, estética","Calidades interiores, prestaciones limitadas, gama de motores"
Dacia Lodgy,Dacia,"2,7",El monovolumen de 7 plazas más barato del mercado,1,1,7,1,2,1,"Precio de derribo, espacio interior, practicidad","Plásticos y calidades en general, estética desafortunada"
Peugeot 308 SW,Peugeot,"3,7",El Peugeot 308 SW Blue-HDI 120 CV es un familiar redondo y muy económico,1,2,5,1,2,2,"Tacto de conducción sobresaliente, gama de motores, calidad de construcción, maletero gigantesco","Pantalla táctil central de respuesta lenta y difícil manejo, ausencia de mandos físicos para climatización"
Suzuki Swift MHEV,Suzuki,"3,4",Motor de gasolina solvente y buena dotación estándar,1,1,5,1,4,2,"Precio atractivo, equipamiento disponible, sistema micro-híbrido, tracción total en opción","Niveles de acabado cerrados, sólo una carrocería, pocas combinaciones de motor/acabado"
Citroën C4 Cactus,Citroën,"2,9","Original, tecnológico y difícil de clasificar",2,1,7,5,2,3,"Estética original, concepto innovador, espacio interior, eficiencia, confort","Aspecto de algunos plásticos, ventanillas traseras batientes, calidad general"
Opel Crossland X,Opel,"3,0","Un nuevo crossover ""made in Spain""",1,1,5,6,2,3,"Versatilidad, posibilidades de equipamiento, acabados","Motor de gasolina básico muy justo, equipo de serie"
Ford Ecosport,Ford,"2,6","Mucho equipamiento de serie. El mismo precio para los únicos motores disponibles, diésel y gasolina.",1,1,5,1,2,3,"Precio atractivo, altura libre al suelo en versiones gasolina, gama de motores","Calidades interiores, portón trasero de apertura lateral, ausencia de tracción 4x4, maletero pequeño"
Renault Mégane ST,Renault,"3,4",Excelente capacidad interior y un diseño muy atractivo,1,1,5,1,2,2,"Maletero, comportamiento, posibilidades de equipamiento","Detalles de acabado, motores básicos algo justos"
Hyundai i30 CW,Hyundai,"3,6",Un coreano con calidad europea y con mucho espacio,1,1,7,9,2,2,"Calidad de construcción, equipamiento completo, tacto de conducción","Gama limitada respecto al cinco puertas, motores diésel ruidosos, precios algo elevados"
Nissan Juke,Nissan,"3,5",El SUV más llamativo y atrevido totalmente renovado,1,2,5,7,2,3,"Diseño original, equipamiento disponible, comportamiento","Precio elevado, plazas traseras pequeñas, calidad de algunos plásticos"
Mitsubishi ASX,Mitsubishi,"2,9","Un crossover mediano de buen precio, como alternativa al Nissan Qashqai",1,1,1,7,2,2,"Precio atractivo, tamaño compacto, disponibilidad de tracción 4x4","Espacio interior limitado, diseño obsoleto, prestaciones justas, escasas combinaciones mecánicas"
Renault Kadjar,Renault,"3,4","Es el primer crossover compacto “de verdad” de Renault, amplio y versátil",1,1,6,1,2,2,"Más grande y menos visto que su hermano el Nissan Qashqai, confort de marcha","Tacto de conducción, detalles de calidad interior"
Toyota Yaris HEV,Toyota,"4,1",Una interesante propuesta híbrida para ciudad,1,1,3,1,7,2,"Silencio en modo eléctrico, comodidad, posibilidades de equipamiento","Cambio CVT ruidoso en aceleraciones, interior algo justo, precio elevado"
MINI,MINI,"3,9","El MINI es lo que parece, precioso, delicioso al volante y caro.",1,4,1,1,2,6,"Tacto de conducción, estética en general","Plazas traseras simbólicas, maletero justo, precio elevado"
Mini 5 Puertas,MINI,"3,7","Un utilitario alargado, pero más pequeño que un Golf",1,2,1,1,4,3,"Diseño general, tacto de conducción, gama de motores, practicidad mejorada frente a modelo 3 puertas","Acceso a plazas traseras estrecho, estética no tan redonda como el modelo 3 puertas, precio elevado"
Ford Focus Sportbreak,Ford,"3,6",Buena capacidad de carga y comportamiento excelente,1,1,5,1,2,2,"Comportamiento dinámico, tacto de conducción, precio ajustado, equipamiento completo","Diseño poco original, interior aburrido"
Ford Focus Sportbreak MHEV,Ford,,,1,1,5,1,6,2,,
Volkswagen T-Cross,Volkswagen,"3,1",Versátil y capaz,1,1,1,1,2,3,"Modularidad, comportamiento, equipamiento","Detalles de acabado, opciones caras, precio"
Hyundai i40,Hyundai,"3,3","Una berlina con buena relación calidad/precio, buenos acabados y 505 l de maletero",1,1,7,6,2,2,"Amplitud, maletero, comportamiento","Motores con prestaciones justas, consumo en gasolina"
Hyundai Ioniq,Hyundai,"3,9",Muy buena relación precio-equipamiento,1,1,5,1,7,3,"Relación precio/equipamiento, cambio automático de tacto agradable, eficiencia en ciudad","Plásticos interiores, prestaciones justas"
Volkswagen e-up!,Volkswagen,,,1,1,1,1,10,3,,
Mazda 3,Mazda,"4,2",Calidad y comportamiento notables,1,3,5,5,2,3,"Diseño, comportamiento, mecánicas eficientes","Plazas traseras, aspecto de algunos plásticos"
Honda Civic,Honda,"3,4",Un estilo diferente y más versátil de lo que parece.,1,3,5,1,2,3,"Estética muy diferenciada, comportamiento dinámico, tacto de dirección y cambio, anchura interior, calidad de construcción","Interior de materiales sencillos, aprovechamiento de la longitud total"
Mazda 3 SportSedán,Mazda,"4,1",De lo más atractivo del segmento por dinámica y tecnología,1,3,5,5,2,3,"Comportamiento, capacidad de maletero, equipamiento","Precio algo elevado, boca de carga del maletero estrecha"
Audi A1,Audi,"4,0",Un rival para el MINI que huye de lo retro,1,2,1,1,4,3,"Calidad de acabados, tecnología, diseño interior","Precio elevado, opciones caras, sin diesel"
Peugeot e-208,Peugeot,,,1,1,5,1,10,3,"Autonomía elevada, agilidad y silencio en ciudad",Precio elevado para un utilitario
Toyota Corolla Sedán HEV,Toyota,"3,6","Etiqueta ECO y consumos ajustados, de serie",1,1,5,6,7,3,"Calidad de terminación, equipamiento de seguridad, solo motor 122 CV","Cambio CVT, sin opciones de personalización, sin motor HSD 180 CV"
Opel Corsa EV,Opel,,,3,1,3,4,10,3,"Silencio de marcha, etiqueta CERO, comportamiento en ciudad",Precio muy elevado para un utilitario
Opel Grandland X,Opel,"3,1","Bien equipado, amplio y con un generoso maletero",1,1,2,7,2,3,"Posibilidades de equipamiento, maletero, amplitud interior","Sin tracción total, gama limitada, detalles de acabado"
Suzuki SX4 S-Cross MHEV,Suzuki,"3,4","Excelente relación valor-precio, también en versión micro-híbrida",1,1,5,1,2,2,"Precio atractivo, posibilidades de equipamiento, opción 4x4","Diseño controvertido, calidad interior justa"
Mazda CX-30,Mazda,"3,8",Diseño y calidad a precios razonables,1,2,1,6,2,4,"Motores eficientes, tracción total disponible, equipo muy completo","Sin opciones, motor diésel algo justo"
Toyota C-HR,Toyota,"3,6",Original y diferente para los amantes de los híbridos,1,2,2,5,7,4,"Estética demoledora, diseño interior de vanguardia, plataforma híbrida","Precio desorbitado, espacio interior muy justo"
Subaru XV,Subaru,"3,6","El Subaru XV lleva una de las mejores tracciones 4X4 del mercado, aunque no sea un todoterreno",1,1,1,1,2,2,"Sistema de tracción integral permanente, eficacia en terreno resbaladizo, altura libre al suelo, estética diferenciada","Ausencia de rueda de repuesto, espacio interior justo, maletero pequeño, sin opción diésel, sin caja manual"
Volvo XC40,Volvo,"4,1",Alternativa diferenciada para el segmento C-SUV Premium,1,1,1,6,2,5,"Diseño, calidad, gama de motores, posibilidades de equipamiento, seguridad","Precios muy elevados sin descuentos, equipo de serie justo, opciones caras"
Volkswagen e-Golf,Volkswagen,,,1,2,1,1,10,3,Calidad y versatilidad de Volkswagen Golf,"Precio muy elevado, formato térmico para un coche eléctrico"
Hyundai Ioniq PHEV,Hyundai,,,1,1,5,1,8,3,"Precio accesible, calidades razonables, confort de marcha, eficiencia en ciudad",Todo el sobrepeso y complejidad que exige llevar motor térmico y baterías grandes
Hyundai Kona EV,Hyundai,,,1,1,4,1,10,3,"Autonomía elevada, prestaciones impresionantes","Precio elevado, como cualquier eléctrico"
Toyota Prius Plus,Toyota,"3,6",La opción más capaz de la gama híbrida Toyota,1,1,1,6,7,2,"Consumos, silencio de marcha, comportamiento en ciudad","Comportamiento en curva, precio muy elevado, tacto de conducción aburrido, prestaciones anémicas"
Opel Insignia Grand Sport,Opel,"3,5","Una buena opción semi-premium, amplio y dinámico",1,2,3,1,2,2,"Calidad de acabados, amplitud, posibilidades de equipamiento, comportamiento","Precios algo elevados, equipamiento de serie sin promociones, maletero más pequeño que en su antecesor"
Kia Niro PHEV,Kia,,,1,1,5,1,8,3,"Precio competitivo dentro de los PHEV, calidad de construcción, espacio interior","Eficiencia penalizada por el peso cuando circulamos con gasolina, exige un punto de recarga en casa"
Honda CR-V,Honda,"3,6",Actualizado con hasta siete plazas y un buen motor turbo,1,1,5,8,2,3,"Espacio interior, versatilidad, solidez general","Precio elevado, equipamiento cerrado, maletero con siete plazas"
Renault Mégane ST PHEV,Renault,,,1,1,5,1,8,2,,
SEAT León ST MHEV,SEAT,,,1,2,5,1,6,2,,
Audi Q2,Audi,"3,4","Primer B-SUV de la marca, dinámico y con unos acabados impecables",1,2,1,1,2,4,"Diseño, calidad de construcción, tecnología","Espacio interior, precio elevado, calidad de materiales mejorable"
Mazda 6,Mazda,"4,1","Elegante, exclusivo, deportivo y japonés",1,4,5,5,2,4,"habitáculo amplio, comportamiento, motores eficientes","Precio algo elevado, equipamiento cerrado"
Opel Mokka EV,Opel,,,1,1,3,1,10,3,,
BMW Serie 1,BMW,"3,7","El compacto de BMW, rival del Audi A3 y Mercedes Clase A",1,3,1,1,2,3,"Pureza de conducción, comportamiento","Estética dudosa, sin propulsión trasera en la nueva entrega, precios elevados"
