nombre,marca,modelo,cal_general,cal_vida,cal_diseño,cal_manejo,cal_performance,a_favor,en_contra
BMW 440i Gran Coupe M Sport,BMW,440i Gran Coupe M Sport,8.2,8.5,8,8.1,8.4,"Prestaciones deportivas,Motor/Caja,Desempeño dinámico,Diseño atractivo,Agrado de conducción","Run flat (sin auxilio),Visibilidad panorámica,Acceso/descenso plazas traseras,Confort de marcha,Consumo urbano"
Chevrolet Onix Plus Premier II AT,Chevrolet,Onix Plus Premier AT,7.9,7.8,7.9,7.5,7.9,"Prestaciones,Desempeño dinámico,Consumos contenidos,Mejoras en seguridad,Habitabilidad posterior,Multimedia y Wifi,Precio competitivo","Comando de caja,Algunos materiales,Capacidad tanque/baúl,Vibraciones en ralentí,Auxilio temporal"
Hyundai Ioniq,Hyundai,Ioniq,7.8,7.9,7.6,8.0,7.8,"Eficiencia,Comportamiento equilibrado,Precio comparativo,Habitabilidad","Sin modo EV,Auxilio temporal,Faltantes de equipamiento"
BMW 118i SportLine,BMW,118i SportLine,8.2,8.0,7.9,7.8,7.8,"Terminación/Materiales,Funcionamiento del motor,Consumo contenido,Steptronic doble embrague","Visibilidad panorámica,Auxilio temporal,Precio poco competitivo,Ausencia de cámara posterior"
Jeep Wrangler,Jeep,Wrangler Unlimited Rubicon,7.3,7.6,8,7.4,7.6,"Capacidad off road,Look imponente,Calidad general,Modularidad carrocería,Equipamiento de confort","Eficiencia del V6,Precio elevado,Distancia de frenado,Sin ADAS,Rumorosidad"
BMW X1 SportLine,BMW,X1 sDrive 20i SportLine,8.1,8,8.1,8.3,8.4,"Equipamiento de serie,Prestaciones/Consumo,Terminación/Materiales,Comportamiento/Frenado","Runflat/Auxilio temporal,Rediseño frontal,Interior no renovado"
Ford F-150 Lariat Luxury,Ford,F-150 Lariat Luxury,7.9,8.7,8.6,7.6,7.9,"Equipamiento de confort,Habitabilidad,Asistente de remolque,Robustez,Prestaciones","Precio elevado,Restyling al caer,Consumo en ciudad,Faltantes de seguridad,Distancia de frenado"
Renault Logan Intens 1.6 CVT,Renault,Logan Intens 1.6 CVT,7.1,7.2,7.4,6.8,7,"Despeje del suelo,Habitabilidad,Multimedia mejorada,Capacidad de baúl,ESP y 4 airbags,Precio competitivo","Asistencia de la dirección,Vibraciones en D (parado),Rigidez de la suspensión,Consumo en ciudad,Calidad materiales,Auxilio temporal"
Volkswagen Amarok V6 258 CV Black Style,Volkswagen,Amarok V6 Black Style,7.8,7.9,7.6,8.2,7.9,"Potencia incrementada,Confort de marcha,Look diferencial,Consumo mixto,Posición de manejo","Sin airbags de cortina,Falta de ADAS,Neumáticos citadinos,Sólo automática"
Audi Q8 55 TFSI 3.0 V6 Quattro,Audi,Q8 55 TFSI 3.0 V6 Quattro,8.2,8,8.8,8.1,8.3,"Diseño diferenciador,Presentación general,Comodidad interior,Capacidad de Baúl,Equipamiento de serie,Suspensiones adaptativas","Dirección sobreasistida,Precio con opcionales,Faltan portaobjetos,Dosificación pedal de freno"
Citroën C5 Aircross THP 165 Feel Pack,Citroën,C5 Aircross Feel Pack AT6,7.9,8,8.2,7.9,7.3,"Plazas traseras,Capacidad de baúl,Eficiencia del THP,Multimedia y tablero","Eje trasero rígido,Faltantes de equipamiento,Única opción,Auxilio temporal"
Renault Kangoo Stepway 1.6 SCe,Renault,Kangoo Stepway 1.6 SCe,7.2,7.2,7,7,7.3,"ESP,Tratamiento off road,Incorporación del MediaNAV","Solo airbag frontales,Detalles de calidad,Faltantes de confot"
Mercedes Benz C63S AMG,Mercedes Benz,C63S AMG,8.2,7.7,8.5,8.9,8.6,"Sedán deportivo puro,Equipamiento/Terminación,Comportamiento en circuito,Motor/Prestaciones,Tracción contundente","Plazas traseras,Confort de marcha,Butacas para uso diario,Garantía mejorable,Para conductores experimentados"
DS7 Crossback Be Chic 1.6 AT,DS,DS7 Crossback Be Chic,7.9,8.3,8.2,8,7.5,"Equipamiento,Plazas traseras,Sistema multimedia,Tablero completo,Calidad interior","Consumo urbano,Off road limitado,Única opción naftera ,Auxilio temporal,Posibilidad de reventa"
Haval H6 Coupe Dignity 2.0 AT,Haval,H6 Coupe Dignity 2.0 AT,7.5,7.6,7.6,7.8,7.3,"Confort de marcha,Habitabilidad,Recuperaciones,Insonorización,Diseño personal","Precio,Baúl,Consumo,Auxilio temporal,Ausencia de navegador"
Lifan X70 Luxury CVT 2.0,Lifan,X70 Luxury CVT 2.0,7.1,7.2,6.8,6.7,7.3,"Habitabilidad,Prestaciones,Poder lumínico,Diseño,Presentación","Selectora,Sólo dos airbags,Consumo en ciudad,Off road light,Quejidos prematuros"
Kia Sorento EX 2.2 4×4 Diesel,Kia,Sorento EX 2.2 4x4 Diésel,7.8,8.2,7.7,7.7,7.7,"Confort de marcha,Habitabilidad,Prestaciones,Calidad general,Garantía","Precio,Sin navegador,Consumo urbano,Sin levas,Acceso a la tercera fila"
Audi Q5 Quattro 2.0 AT,Audi,Q5 quattro 2.0 AT,8.4,8.6,8.4,8.2,8.0,"Confort de marcha,Habitabilidad,Prestaciones,Insonorización,Diseño","Precio,Sin cámara,Consumo (promedio),Auxilio temporal,Quinta plaza"
Toyota Etios sedán XLS,Toyota,Etios sedán XLS,7.2,7.1,7,7.2,7.2,"Espacio interior,Consumo en ruta,Caja de 6 relaciones,Habitabilidad/Tamaño baúl","Algunos faltante de equipamiento de confort,Respuesta táctil de la pantalla,Ubicación de tablero"
Honda Fit EXL 1.5 AT,Honda,Fit EXL 1.5 AT,7.5,7.4,7.7,7.7,7.4,"ESP/Seis airbags,Habitabilidad,Consumo,Calidad general,Confiabilidad","Precio,Unica versión,Autonomía,Auxilio temporal,Reacción CVT"
Chevrolet Spin LTZ 1.8 AT,Chevrolet,Spin LTZ 1.8 AT,6.9,6.5,6.6,6.6,6.5,"Diseño más atractivo,Presentación interior,Confort de marcha,Precio comparativo","Equipamiento de seguridad,Comportamiento dinámico,Consumos en ciudad,Comportamiento de caja"
Ford Ranger XLT 2.5 MT,Ford,Ranger XLT 2.5 MT,7.3,7.4,7.1,7.2,7.3,"Unica en el segmento,Espacio en plazas traseras,Apta GNC,Garantía de 5 años","Solo tres airbags,Consumos siderales,Sin 4x4,Sistema multimedia"
Citroën C4 Cactus Shine 1.6 AT,Citroën,C4 Cactus Shine 1.6 AT,7.6,7.0,7.6,7.6,8.2,"Confort de marcha,Potencia/Prestaciones,Habitabilidad,Seguridad,Gama ampliada","Auxilio temporal,Capacidad de baúl,Comportamiento dinámico,Sin opción 4x4,Calidad mejorable"
Peugeot 308S GT,Peugeot,308S GT,7.9,7.8,7.9,8.1,8.4,"Diseño agradable,Prestaciones deportivas,Consumos contenidos (en ruta),Motor eficiente","Posición de manejo conflictiva,Auxilio temporal,Plazas traseras justas,Configuración en pantalla"
Volvo XC60 T5 Momentum,Volvo,XC60 T5 Momentum,8.1,8.2,8.1,8.5,7.9,"Diseño personal,Calidad,Eficiencia de los frenos,Suspensiones equilibradas,Motorizacion eficiente","Ausencia de cámara MA,Auxilio temporal,Precio comparativo,Consumo/Autonomía,Posicion de manejo"
Volkswagen Vento 1.4 TSI Highline Tiptronic,Volkswagen,Vento Highline 1.4 TSI Highline Tiptronic,7.9,8.1,7.9,8.1,8.1,"Equipamiento,Terminación,Prestaciones correctas,Consumo contenido,Comportamiento dinámico","Precio comparativo,Distancias de frenado,Levas no disponibles,Espejos eléctricos no rebatibles,Auxilio temporal"
Toyota Hilux SRX 4×4 MT,Toyota,Hilux SRX 4x4 MT,7.7,7.6,7.7,7.4,7.7,"Garantía,Durabilidad,Capacidad off road,Consumos","Confort de marcha,Selector de caja,Quinta plaza,Actualización a medidas"
Toyota Yaris 1.5 S 5 puertas,Toyota,Yaris 1.5 S MT 5 puertas,7.6,7.4,7.6,7.8,7.5,"Motor y transmisión,Equilibrio suspensiones,Garantía extendida,Consumos,Habitabilidad","Distancias de frenado,Sin sensor trasero,Algunas terminaciones,Posición de manejo,Autonomía"
Alfa Romeo Giulietta Veloce 1.8 AT,Alfa Romeo,Giulietta Veloce 1.8 AT,7.7,7.4,7.3,7.7,8.4,"Potencia disponible,Comportamiento,Calidad,Equipamiento,Diseño atractivo","Espacio posterior,Confort de marcha,Auxilio temporal,Precio elevado,Caja poco eficiente"
Chevrolet Equinox 1.5 Premier AT 4×4,Chevrolet,Equinox 1.5 Premier AT 4x4,7.7,8.2,7.7,7.7,7.3,"Equipamiento,Habitabilidad,Relación CV/Litro,Comportamiento equilibrado,Presentación","Opción 4x4,Consumo urbano,Baúl mejorable,Auxilio temporal,Gama acotada"
Fiat Uno Way,Fiat,Uno Way,7.1,7.3,6.9,7.3,7.1,"Confort de marcha,ESP de serie,Multimedia completa,Calidad percibida","Baúl acotado,Única versión,Espacio trasero,Restyling antiguo"
Nissan Frontier 2.3 LE 4X4 AT,Nissan,Frontier 2.3 LE 4X4 AT,7.6,8.2,7.8,7.7,8.0,"Equipamiento mejorado,Confort de marcha,Neumáticos más off road,Precio final","Sin bloqueo diferencial trasero,Posición de manejo,Algunas terminaciones,Garantía"
BMW X3 M40i,BMW,X3 M40i,8.2,8.1,8.4,8.7,8.3,"Imagen deportiva,Terminaciones/Materiales,Prestaciones/Elasticidad,Comportamiento dinámico","Auxilio temporal,Confort de marcha,Consumo promedio,Precio respecto del Q5"
Mercedes-Benz A 250 AMG-Line,Mercedes Benz,Clase A 250 AMG-Line,8.0,8.1,8.1,8.1,8.8,"Equipamiento de serie,Sistema Linguatronic,Consumo contenido,Comportamiento deportivo,Calidad de materiales","Precio elevado/Garantía,Despeje limitado,Sin auxilio homogéneo,Visibilidad panorámica,Ubicación selector caja"
Ford Ka+ 1.5 AT,Ford,Ka+ 1.5 AT,7.3,7.3,7.2,7.5,7.6,"Equipamiento de seguridad,Baúl,Multimedia,Confort de marcha,Motor y caja","Consumo urbano,Auxilio temporal,Distancia de frenado,Instrumental,Precio comparativo"
Renault Duster Oroch 4×4,Renault,Duster Oroch 4x4,7,7.3,6.6,6.9,6,"Gama on y off road,Confort de marcha,All mode 4x4,Habitabilidad,Robustez","Motor antiguo,Capacidad de carga,Calidad mejorable,Portón pesado,Equipamiento de seguridad"
Ford Ka Freestyle,Ford,Ka Freestyle,7.4,7.4,7.3,7.4,7.3,"Equipo de seguridad,Look diferencial,Eficiencia de motor,Comportamiento","Una sola versión,Detalles mejorables,Baúl justo,Consumo urbano"
Fiat Toro 1.8 naftera AT6,Fiat,Toro Freedom 1.8 AT6,7.3,7.5,7.7,7.4,6.5,"Diseño personal,Presentación interior,Equipamiento de serie,Precio comparativo","Consumo elevado,Plazas traseras justas,Error velocímetro (11%),Recuperaciones/Elasticidad"
Lexus GS 450h Luxury,Lexus,GS 450h Luxury,8.3,8.3,8.3,8.4,8.8,"Habitabilidad ,Confort de marcha ,Consumo/autonomía,Performances,Calidad","Capacidad de baúl ,Quinta plaza ,Sin asistentes seg. ,Auxilio temporal ,Sin navegador"
Volkswagen Saveiro Cross,Volkswagen,Saveiro Cross,6.9,7.0,6.7,6.9,7.1,"Confort,Con ESP,Gama variada,Estética","Plazas posteriores,Volúmen de carga,Prestaciones domésticas,Caja de cinco relaciones"
Hyundai Veloster 1.6T Ultimate 7DCT,Hyundai,Veloster 1.6T Ultimate 7DCT,8.0,7.8,7.8,8.3,8.6,"Estética diferencial,Performance,Comportamiento,Equipamiento,Gama completa","Acceso a plazas traseras,Auxilio temporal,Solo para cuatro,Algunos plásticos,Visibilidad"
BMW X2 sDrive 2.0i MSport,BMW,X2 sDrive 2.0i MSport,8.1,8.0,8.2,8.7,8.2,"Diseño atractivo,Consumo,Poder frenante,Motor elástico","Precio comparativo,Visibilidad panorámica,Plazas traseras justas,Auxilio temporal"
Honda HR-V EXL,Honda,HR-V EXL,7.2,7.4,7.5,7.7,7.6,"Equipamiento de seguridad/Frenos,Eficiencia del motor,Habitabilidad/Baúl,Función manual CVT,Calidad de terminación","Faltantes de confort,Auxilio temporal,Solo 4x2,Luces mejorables,Sin antiniebla trasero"
Audi A3 2.0T Sedán S Line,Audi,A3 2.0T Sedán S Line,8.1,8.0,7.6,8.5,8.5,"Consumo austero,Percepción de calidad ,Motor eficiente,Agrado de conducción","Precio elevado ,Plaza trasera central ,Diseño convencional ,Visibilidad posterior "
Lexus NX 300h,Lexus,NX 300h,8.0,8.3,7.9,7.9,7.9,"Habitabilidad ,Confort de marcha,Consumo/autonomía,Doble tracción  Garantía,Garantía","Reventa incierta,Quinta plaza ,Sin asistentes seg. ,Auxilio temporal ,Multimedia poco intuitiva"
Peugeot 308 S,Peugeot,308 S,7.8,7.6,7.6,8.3,7.9,"Calalidad ,Diseño ,Prestaciones ,Equipamiento","Sin levas ,Precio elevado,Quinta plaza ,Auxilio temporal "
Changan CS15 Luxury,Changan,CS15 Luxury,6.9,6.9,7.1,6.9,6.5,"Equipamiento ,Habitabilidad ,Consumo en ruta ,Garantía ,Multimedia","Auxilio temporal, Prestaciones ,Autonomía ,Caja/motor ,Sin navegador"
Hyundai Kona Ultimate,Hyundai,Kona Ultimate,7.7,8.0,8.5,7.6,7.6,"Prestaciones,Comportamiento gral,Equip. de seguridad,Look diferencial,Vida a bordo","Auxilio temporal,Precio elevado,Consumo en ciudad,Baúl justo,Habitabilidad"
Mercedes Benz Clase E 220d All-Terrain,Mercedes Benz,Clase E 220d All-Terrain,8.3,8.7,8.9,8.2,8.3,"Consumo,Capacidad de baúl,Prestaciones,Calidad de materiales,Autonómia","Auxilio temporal,Garantía,Precio mejorable,Posibilidad de reventa,Falta de ADAS"
Volvo XC40 T5 AWD,Volvo,XC40 T5 AWD,8.0,8.0,8.2,8.4,7.9,"Susp. equilibradas,Motor efic./Elasticidad,Diseño logrado,Calidad de materiales","Auxilio temporal,Consumo/autonomía,Precio mejorable,Ordenador poco intuitivo"
Audi A5 Coupe Stronic Quattro,Audi,A5 coupé Quattro,7.9,7.9,8.0,8.5,8.2,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado"
Changan CS75 Elite,Changan,CS75 Elite,7.2,8.0,7.4,7.8,7.6,"Estética sobria,Capacidad baúl,Garantía,Auxilio,Habitabilidad","Prestaciones,Precio elevado,Consumo en ciudad,Autonomía,Distancias de frenado"
Haval H1,Haval,H1,6.6,6.6,6.7,6.8,6.8,"Estetica simpática ,Consumo,ESP disponible,Agilidad en ciudad,Buen radio de giro","Calidad general,Auxilio temporal,Solo airbag frontal,Capacidad de baúl,Distancia de frenado"
Mini Cooper S look JCW,Mini,COOPER S LOOK JCW 3P,7.8,7.4,7.4,8.5,8.6,"Diseño seductor ,Motor/Consumo,Prestaciones deportivas,Elasticidad/Recuperaciones,Comportamiento dinámico","Plazas traseras simbólicas,Faltantes de equipamiento,Precio elevado,Confort de marcha,Run Flat sin auxilio"
Citroën C4 Cactus VTI 115 Feel,Citroën,C4 Cactus VTI 115 Feel,7.1,7.2,6.9,6.9,7.3,"Confort de marcha,Estética diferencial,Precio comparativo,Equipo de seguridad","Auxilio temporal,Selector de caja,Instrumental anticuado,Sin sensor de est."
DS 3 Café Racer,DS,3 Café Racer,7.2,7.6,7.2,7.8,7.7,"Consumos,Equip. de confort,Calidad,Comportamiento,Distancia de frenado","Precio elevado,Diseño cuestionable,Habitabilidad,Baúl limitado,Auxilio temporal"
Mercedes Benz GLA 45 AMG,Mercedes Benz,GLA 45 AMG,8.2,7.9,8.1,8.7,8.8,"Motor/prestaciones,Comport. 4Matic,Aceleración,Relación CV/Litro,Diseño/Equipamiento","Precio elitista,Confort de marcha,Run Flat/sin auxilio,Garantía limitada,Plazas traseras justas"
Ford Mondeo Titanium,Ford,Mondeo Titanium,8.2,8.2,8.2,8.0,8.0,"Seguridad,Term./materiales,Diseño vigente,Confort de marcha,Múltiples asistentes","Consumo en ciudad,Gama reducida,Tablero confuso,Auxilio temporal,Tanque pequeño"
Jeep Renegade Trailhawk,Jeep,Renegade Trailhawk,7.4,7.3,7.4,7.3,7.4,"Equip/Multimedia,Seguridad,Robustez,Tracción,Autonomía","Radio de giro,Precio comparativo,Baúl,Sensibilidad al viento,Distancia de frenado"
Hyundai Veloster N,Hyundai,Veloster N,7.8,8.0,7.7,8.4,8.0,"Prestaciones,Comp. dinámico,Asistencias deportivas,Look diferencial,Consumo en ruta","Radio de giro,Auxilio temporal,Plazas traseras,Confort de marcha,Consumo en ciudad"
Volkswagen T-Cross Highline,Volkswagen,T-Cross Highline,7.7,7.5,8.0,8.1,7.2,"Habitabilidad,Percepción de calidad,Insonorización,Comportamiento dinámico","Prestaciones,Precio elevado,Auxilio temporal,Ausencia de opción 4x4"
Jeep Compass MY2019 Limited Plus,Jeep,Compass MY2019 Limited Plus,7.6,7.8,7.9,7.7,7.0,"Equip./Seguridad,Materiales,Plazas posteriores,Comp. equilibrado,Sistema de tracción","Baúl justo,Consumo urbano,Precio ,Distancias de frenado,Caja con patinamiento"
BMW 330i Sportline,BMW,330i Sportline,8.3,8.2,8.2,8.7,8.6,"Diseño renovado,Suspensiones equilibradas,Distancias de frenado,Tecnología aplicada","Run flat sin auxilio,Dosificación climatizador,Visibilidad panoràmica,Consumo urbano"
Toyota RAV4 Limited Hybrid,Toyota,RAV4 Limited,8.2,8.0,8.6,8.1,8.3,"Consumos,Eq. de seguridad,Capacidad de baúl,Auxilio original,Potencia combinada","Precio elevado,Multimedia,Capacidad off road,Maniobrabilidad,Solo híbrido"
Renault Kwid Outsider,Renault,Kwid Outsider,6.6,6.8,6.4,6.5,6.6,"Multimedia,Precio comparativo,Capacidad de baúl,Auxilio original,Cuatro airbags","Comp. dinámico,Autonomía,Posición de manejo,Habitabilidad trasera,Manejo en ruta"
Ford Mondeo Vignale Híbrido,Ford,Mondeo Hybrid Vignale,8.3,8.4,8.1,7.9,8.1,"Asistencias a la conducción,Confort y conectividad,Garantía del sistema eléctrico,Calidad de materiales,Precio/producto","Capacidad del baúl,Prestaciones vs EcoBoost,Kit antipinchazos,Caja sin mando secuencial"
Nissan Leaf,Nissan,Leaf,7.9,8.2,8.0,8.0,7.8,"Autonomía en ciudad,Equilibrio de suspensiones,Equipamiento de seguridad,e-Pedal,Prestaciones,Capacidad de baúl,Insonorización,Garantía sistema EV","Faltantes en confort,Autonomía en ruta,Tiempo de carga en 220v,Freno estacionamiento,Precio"
Volkswagen Vento GLI,Volkswagen,Vento GLI,8.0,8.0,8.0,8.4,8.3,"Prestaciones,Comportamiento dinámico,Eficiencia de los frenos,Recuperaciones","Precio elevado,Auxilio temporal,Espacio posterior justo"
Peugeot 2008 Sport THP,Peugeot,2008 Sport THP,7.8,7.9,7.9,8.1,8.1,"Potencia disponible,Percepción de calidad,Consumos contenidos,Grip Control","Sin ADAS,Rediseño escaso,Distancias de frenado"
Ford Ranger 2020 Black Edition,Ford,Black Edition,7.7,7.9,7.6,7.8,7.2,"Mejoras en el confort de marcha,Equip. de seguridad,Equip. de multimedia,Estética diferencial,Garantía","Consumo en ciudad,Restyling imperceptible,Distancias de frenado"
Mercedes-Benz Clase B 200 Progressive,Mercedes Benz,Clase B 200 Progressive,8.2,8.7,8.6,8.3,8.3,"Interacción con la unidad,Instrumental y MBUX,Conectividad,Prestaciones,Consumos,Motor y transmisión,Habitabilidad","Faltantes en equipamiento,Despeje conflictivo,Asistencias activas,Sin auxilio,Garantía"
DS 3 Crossback So Chic,DS,3 Crossback So Chic,7.7,7.9,7.8,7.8,7.6,"Diseño rupturista,Motor eficiente,Presentación,Telemática,Confort de marcha","Precio elevado,Falta de ADAS,Habitabilidad,Auxilio temporal"
BMW X4 xDrive 30i,BMW,xDrive 30i,8.2,8.3,8.3,8.4,8.7,"Consumo/Autonomía,Calidad de materiales,Prestaciones/Frenado,Comportamiento equilibrado","Visibilidad posterior,Algunos faltantes de equipamiento,Android no disponible,Auxilio temporal"
Mitsubishi L200,Mitsubishi,L200,7.5,7.7,7.7,7.3,7.6,"Renovación estética,Modos off road,Equipamiento general,Potencia de frenado,Diferencial central","Precio comparativo,Valor de reventa,Visibilidad trasera,Garantía"
BMW M2 Coupé,BMW,M2 Coupé,8.2,8.1,8.3,8.3,8.5,"Aceleración/Elasticidad,Calidad de construcción,Comportamiento dinámico,Caja de cambio/levas,Diseño deportivo","Plazas traseras/Acceso,Consumo en ciudad,Autonomía limitada,Kit de reparación,Confort de marcha"
Lifan My May 1.8 MT,Lifan,My May 1.8 MT,6.6,6.7,6.1,5.9,6.8,"Modularidad interior,Consumos,ESP/ASR,Diseño atractivo,Precio comparativo","Distancia de frenado,Pedal de freno gomoso,Transmisión,Solo dos airbags,Comportamiento en ruta"
Toyota Innova SRV 2.7 Automática,Toyota,Innova SRV 2.7 AT,7.6,8.0,7.3,7.5,7.1,"Calidad percibida,Seguridad en 8 plazas,Configuración de butacas,Baúl con tercera fila rebatida,Precio comparativo","Rigidez de la suspensión,Consumos elevados,Faltantes de equipamiento,Sensores de estacionamiento,Sin opción diésel"
Renault Kwid Iconic 1.0 MT,Renault,Kwid Iconic 1.0 MT,6.8,6.5,6.5,6.7,6.5,"Multimedia,Precio comparativo,Capacidad de baúl,Motor moderno,Cuatro airbags","Comportamiento dinámico,Autonomía,Posición de manejo,Habitabilidad trasera,Manejo en ruta"
Mercedes-Benz Clase E 400 4Matic AMG Line,Mercedes Benz,Clase E 400 4Matic AMG Line,8.3,8.1,8.7,8.7,8.4,"Calidad general,Sistema de iluminación,Prestaciones,Consumos en ruta,Aislación acústica","Quinta plaza,Neumáticos run flat,Visibilidad panorámica,Consumo urbano,Garantía"
Mini Clubman Chili 2.0 AT,Mini,Clubman Chili 2.0 AT,7.6,7.6,7.1,8.6,8.3,"Prestaciones en general,Consumo austero,Plazas traseras habitables,Comportamiento rutero,Motor eficiente","Rigidez de suspensiones,Neumáticos Run flat sin auxilio,Garantía limitada,Visibilidad posterior,Precio elevado"
Suzuki Vitara GLX 1.6 4×4 AT,Suzuki,Vitara GLX 1.6 4x4 AT,7.5,7.3,7.5,7.8,7.4,"Equipamiento de seguridad/frenos,Habitabilidad,Consumos,Personalización,Prestaciones","Aspereza del tren trasero,Calidad de algunos plásticos,Auxilio temporal,Faltantes de confort,Precio elevado"
Peugeot 2008 1.6 THP Sport,Peugeot,2008 1.6 THP Sport,7.9,7.7,7.9,8.2,8.3,"Diseño atractivo,Motor eficiente/Prestaciones,Suspensiones/Dinámica,Equipamiento de serie,Sistema Grip Control","Auxilio temporal,Ubicación instrumental,Distancias de frenado justas,Ausencia de Isofix,Xenón no disponible  "
