nombre,version,cal_general,cal_acabados,cal_seguridad,cal_equipamiento,cal_Infotenimiento,cal_comportamiento,cal_motor,cal_transmision,cal_consumo,cal_espacio,cal_precio,a_favor,en_contra
,,7.9,"8,7.7","7,8","8.5,8","8.5,8","8,10","8,10","7.5,9","8,8.5","8,7.5","7.5,8","Puesta a punto de chasis pensada en los retos de la región,Buen nivel de equipamiento tecnológico,Interior atractivo a la vista,Manejo divertido, directo y ágil,Nivel de seguridad ,Verdadero enfoque deportivo y no sólo cambios visuales","La versión más completa sólo lleva 4 bolsas de aire,No hay faros LED,La dirección es muy blanda,Suspensión muy firme para algunos,No es el más amplio en cajuela ni parte trasera,No lleva equipo realmente sorprendente para el segmento"
MG ZS ,Excite,7.9,7.5,8,8,8,8,8,5,8,9,9.5,"Precio y garantía,Nivel de equipo considerando el precio,Manejo bien plantado, de buena respuesta y cómodo","La caja de 4 cambios hace que el desempeño pierda mucha capacidad,Faltan elementos esenciales como ajuste de profundidad al volante"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Suzuki Ertiga ,XL7,7.7,7,6,8,8.5,7,7,7,8,10,8,"Acomoda a siete pasajeros sin demasiado esfuerzo.,El abatimiento de asientos ofrece soluciones de carga muy útiles.,La suspensión es cómoda para ciudad.","La transmisión automática no ayuda mucho al consumo.,Sólo ofrece bolsas de aire frontales.,El motor le queda muy justo con el vehículo cargado."
Chevrolet Corvette ,Z51 Performance Package,8.4,9,9,10,9,9,10,10,4,5,9,"Un deportivo de motor central por 2 millones de pesos.,Es cómodo para usarlo en ciudad.,Los acabados interiores han mejorado mucho.","Poco espacio para equipaje y objetos personales.,El V8 pasa su factura en el consumo urbano.,No ofrece freno autónomo de emergencia."
Peugeot 2008 ,GT Line,9.0,10,8.5,9,10,9,9,9,8,8.5,,"130 hp son suficientes para volverlo ágil.,Al volante es el B-SUV más divertido del momento.,Los acabados y el equipamiento son de lo mejor en la categoría.","Suspensión algo más rígida que lo usual.,El ajuste de temperatura y velocidad del A/C sólo se hace en la pantalla.,El diseño de la palanca de cambios no es igual a la del 2008 GT."
SEAT Ateca 2021 ,Xperience,8.4,8.5,8,9,9.5,8.5,9,8.5,8,7,,"Un manejo que sin estar enfocado a lo deportivo, entrega mejores sensaciones que la mayoría.,Consumos bajos si se tiene cuidado con el acelerador.,Buen nivel de conectividad y elementos de confort.","El precio no está tan bien balanceado como en otros productos.,Nos hubiera gustado ver la alerta de punto ciego y el freno autónomo de emergencia, al menos en variantes FR y Xperience.,Ciertos elementos de equipo cambian entre las versiones más completas al mismo precio."
Audi Q5 ,45 TFSI S-Line,9.1,8.5,9,10,10,9,9,10,8,8.5,8.5,"Un manejo equilibrado: ágil y cómodo.,El facelift realmente lo rejuveneció.,La gama inicia a precio competitivo.","Hay acabado negro brillante en zonas de uso diario.,Ciertas asistencias son opcionales.,Algunos plásticos cumplen a la vista, pero son rígidos al tacto."
Hyundai Grand i10 Sedán ,GLS TA,7.1,7,5,7,8,7,8,7,7.5,8,7,"Interiores bonitos y bien terminados.,Es muy cómodo para la ciudad.,El espacio interior y la cajuela están bien aprovechados.","La banca trasera es fija.,Ofrece lo mínimo en seguridad, por detrás de la competencia.,La transmisión automática le resta eficiencia. Mejor manual."
Honda Accord ,Touring,9.2,9,10,9.5,9,9,10,9,7.5,10,8.5,"El motor de 2.0 litros acelera con ganas y sin turbolag.,Su comportamiento es ágil y sedoso.,El equipamiento de confort y seguridad apunta alto.","El espacio para cabeza es el justo para conductores altos.,Las asistencias de conducción son algo nerviosas.,Honda LaneWatch no es mejor que un monitor de punto ciego."
Ford Bronco Sport ,Badlands,8.4,8,9,9.5,9,8.5,9,9,6,8,8,"Increíblemente práctico.,Puede llegar mucho más lejos que un crossover común.,Gran nivel de conectividad y elementos de confort","Consumos algo elevados.,No lleva la suite de asistencias completa.,El espacio para piernas en la parte trasera puede quedar algo reducido."
KIA Sorento ,SX,8.6,9,10,9,8,8,7,10,8,9,8,"Un diseño atractivo y fresco.,Su cuatro cilindros ahorra más fácil que un V6 con poco tráfico.,Es cómodo y fácil de conducir.","El cuadro de instrumentos digital no es mejor que uno análogo.,Mucho equipamiento se reserva sólo para el tope de gama.,El motor genera sólo el poder necesario, no más."
Mazda CX-30 ,s Grand Touring,8.4,9.5,8.5,8.5,9,9.5,10,8,5,7,8.5,"El manejo está en el punto exacto entre confort y precisión.,El motor es enérgico y de respuesta muy lineal.,La selección de materiales al interior es exquisita.","El consumo de combustible es alto.,El espacio en la banca trasera es sólo el justo.,No lleva los faros dirigibles ni el sonido Bose del CX-30 i GT."
Hyundai Creta ,Limited Turbo,8.3,8,8,8,8.5,8.5,9,8,8.5,9,7.5,"Gran amplitud en la parte trasera.,Salto en percepción de calidad.,Con motor turbo su experiencia de manejo mejora muchísimo.","El cinturón central trasero es pélvico aún.,Las variantes GL y GLS eliminan 4 bolsas de aire."
,,,,,,,,,,,,,,
