Nombre,Marca,Puntuacion,Informativo,C_peque_manej,C_deportivo,C_bueno_barato,C_practico,C_ecologico,C_atractivo,Lo_mejor,Lo_peor
 Audi A3 Sedán ,,"3,7"," «Para quien busque un coche de representación elegante. Sus plazas traseras no llegan al tamaño del A4 (especialmente en altura) y la boca de carga de su maletero no hace que su maletero sea equiparable, pero aún así sigue siendo un sedán bien proporcionado y precioso por fuera. Lee mi ",1,2,1.0,5.0,2.0,3.0,"Calidad y diseño interior, tecnología","Estética muy clásica, precio"
 Volkswagen Tiguan PHEV ,,,,1,1,1.0,8.0,8.0,3.0,"Imagen (casi) premium, posibilidades de equipamiento, confort de marcha","Peso elevado, precio, equipamiento de serie escaso"
 SEAT León PHEV ,,,,1,2,5.0,4.0,8.0,3.0,"Diseño, mejora en calidades, dinámica de conducción","Precio, peso añadido respecto a las versiones normales"
 SEAT Alhambra ,,"3,9",,1,1,5.0,11.0,2.0,2.0,"Amplitud, calidad de acabados, puertas deslizantes","Maletero con siete plazas, precio sin descuentos"
 Alfa Romeo Giulia ,,"3,7",,1,5,1.0,5.0,2.0,4.0,"Estética, deportividad pura, tracción trasera y reparto de masas","Calidad de algunos plásticos, precio elevado"
 Toyota Prius PHEV ,,, «El coche de los ,1,1,1.0,5.0,8.0,2.0,,
 Toyota RAV4 HEV ,,"3,9",,1,1,1.0,7.0,7.0,5.0,"Motor híbrido, consumos en uso urbano, silencio","Cambio ruidoso, precios elevados"
 Volkswagen Tiguan Allspace ,,,,1,1,1.0,10.0,2.0,3.0,"Calidad de rodadura, gama de motores","Diseño muy convencional, detalles de acabado"
 Volkswagen Sharan ,,"3,7",,1,1,5.0,8.0,2.0,2.0,"Espacio y versatilidad interior, 7 plazas reales, puertas correderas, confort de marcha, gama de motores, comportamiento sorprendente","Estética cuadrada, es más caro que un SEAT Alhambra siendo el mismo coche"
 Audi Q3 ,,"3,6"," «Un SUV basado en el Audi A3, con un interior no tan elegante como el del A3 pero el mismo espacio y un exterior atractivo. La gama de motores diésel y gasolina de Audi nunca defrauda. » ",1,1,1.0,8.0,2.0,3.0,"Calidad interior, equipamiento disponible","Precio elevado, opciones caras, gama limitada"
 Renault Espace ,,"3,2",,1,1,5.0,11.0,2.0,5.0,"Amplitud, maletero con cinco asientos, diseño, presentación","Aspecto de algunos plásticos, dimensiones, motores pequeños algo justos"
 Kia Sorento HEV ,,,,1,1,7.0,5.0,7.0,2.0,"Calidad de construcción, equipamiento, mecánicas avanzadas, relación calidad-precio","Muchos rivales, precio algo elevado para la mayoría de clientes que buscan un KIA"
 Audi A5 Sportback ,,"3,7",,1,4,1.0,7.0,2.0,5.0,"Calidad, comportamiento, gama","Equipo de serie, precio"
 Kia Sorento ,,"3,9"," «Un SUV de 7 plazas por menos de 30.000 euros, sin tener en cuenta los descuentos. Conducción comoda y espacio interior son las bazas del Sorento, además de un exterior llamativo. De entrada el 2.0 diésel de 150 CV es más que aceptable. » ",1,1,7.0,5.0,2.0,2.0,"Espacio, maletero, siete plazas, calidad de terminación, mecánica híbrida","Dimensiones, consumos algo elevados, precio"
 Volkswagen T-Roc R ,,,,1,2,1.0,5.0,1.0,3.0,,
 Volkswagen Golf R ,,,,1,6,1.0,5.0,2.0,5.0,"Prestaciones, facilidad de conducción, practicidad real","Le falta un punto de rabia, es demasiado fácil de conducir"
 Porsche Macan ,,"4,2",,1,5,1.0,7.0,1.0,4.0,"Tacto de conducción sobresaliente, diversión al volante, prestaciones, practicidad real como familiar, calidad de construcción, diseño",Precio muy elevado
 Kia Sorento PHEV ,,,,1,1,7.0,5.0,8.0,2.0,,
 Audi Q5 ,,"3,6",,1,1,1.0,8.0,2.0,3.0,"Tecnología, interior, calidad de ejecución, comportamiento","Precio elevado, diseño sobrio"
 Toyota RAV4 PHEV ,,,,1,1,3.0,1.0,8.0,3.0,,
 Fiat 500X ,,"3,1",,1,1,5.0,5.0,2.0,6.0,"Diseño, precio ajustado, calidad razonable","Maletero justo, detalles de acabado"
 Renault Clio HEV ,,,,2,1,5.0,5.0,7.0,3.0,"Eficiencia, tecnología, capacidad de conducción en modo eléctrico, etiqueta ECO","Imagen poco diferenciada, consumo en ciudad algo elevado para lo que se espera"
 Kia Niro HEV ,,"3,7",,1,1,7.0,6.0,7.0,3.0,"Consumos, garantía, equipamiento","Calidad de algunos plásticos, maletero algo justo"
 Renault Scenic ,,"3,5",,1,1,5.0,1.0,2.0,3.0,"Amplitud, diseño, posibilidades de equipamiento","Banqueta posterior en lugar de asientos independientes, aspecto de algunos plásticos, precio"
 Renault Mégane PHEV ,,,,1,2,5.0,1.0,8.0,3.0,,
 Mazda CX-5 ,,"3,9"," «Espíritu Mazda en un SUV compacto. Muy buen comportamiento en carretera y una experiencia de conducción muy agradable, con una palanca de cambios corta y precisa. Un interior agradable y motores gasolina y diésel preparados para devorar kilómetros con un consumo contenido y buena respuesta.» ",1,2,1.0,8.0,2.0,3.0,"Equipamiento, calidad, comportamiento, motores eficientes","Precios algo elevados, opciones caras"
 SEAT Tarraco ,,"3,8",,1,1,5.0,10.0,2.0,3.0,"Siete plazas, posibilidad de tracción total, equipamiento disponible, comportamiento","Aspecto de algunos plásticos, tercera fila algo justa,"
 Volkswagen Passat ,,"3,8",,1,1,1.0,6.0,2.0,4.0,"Calidad de construcción, espacio interior, maletero, gama de motores, estética atractiva","Precio elevado, precio de opciones"
 Audi A3 ,,"4,1"," «Una opción conservadora para quien busque un compacto premium: su diseño no hace girar la vista, pero dentro de diez años sabemos que seguirá luciendo igual de agradable que ahora. Por lo demás, precisión Audi.» ",1,3,1.0,5.0,2.0,3.0,"Diseño y calidad interior, tecnología","Estética muy clásica, tacto de dirección poco comunicativo, precio elevado"
 Volkswagen Golf GTI ,,"4,3",,1,5,1.0,5.0,2.0,5.0,"Acabados, equipamiento, comportamiento seguro, prestaciones, futuro clásico","Falta de carácter, precio elevado, opciones caras"
 Volkswagen Tiguan R ,,,,1,3,1.0,8.0,1.0,4.0,,
 Fiat 500 MHEV ,,"3,3",,10,1,1.0,1.0,6.0,8.0,"Diseño, conducción, consumo, personalización","Equipamiento justo, sistemas de seguridad, poca tecnología"
 SEAT Mii CNG ,,"3,2",,8,1,7.0,3.0,5.0,3.0,"Maletero capaz, carrocería de tres y cinco puertas, posibilidades de equipamiento, comportamiento dinámico","Calidad de algunos materiales, desarrollos del cambio largos, prestaciones justas, terminación mejorable"
 Renault Clio ,,"3,7",,2,1,5.0,5.0,4.0,2.0,"Equipamiento, comportamiento, motores eficientes","Gama inicial algo justa, plazas traseras estrechas, precio sin promoción"
 SEAT Ibiza ,,"3,7"," «Un clásico del mercado, apuesta segura para quien busque un utilitario para muchos años. No es de los más baratos pero su valor de reventa también es mayor. » ",2,1,7.0,5.0,4.0,2.0,"Comportamiento, amplitud interior, posibilidades de equipamiento, tecnología","Plásticos duros para todas las superficies, precio algo elevado"
 Fiat 500 ,,"3,4"," «El Fiat 500 goza de diseño, agilidad y buenos acabados desde su acabado más básico. La oferta de motores diésel es la más interesante, aunque los motores TwinAir y GLP consiguen bajos consumos y suavidad para el uso en ciudad. A nivel de personalización, las opciones son casi infinitas.» ",1,1,1.0,1.0,5.0,8.0,"Diseño sobresaliente, precio ajustado","Maletero justo, calidad de algunos plásticos"
 Kia Ceed ,,"3,6",,1,1,7.0,5.0,2.0,2.0,"Relación valor-precio, garantía, equipamiento","Detalles de acabado, valor de reventa"
 Volkswagen Polo ,,"3,6",,3,1,1.0,5.0,4.0,2.0,"Calidad de construcción, gama de motores, habitabilidad, maletero","Precio algo elevado, diseño sobrio, gama inicial limitada, sin motor diésel"
 Renault Mégane ,,"3,6"," «Todo un super ventas que va muy bien, especialmente con los imperecederos motores diésel dCI. Aunque que se le echa en falta es una mayor calidad interior no podemos olvidar que es un coche muy popular. Lee mi ",1,2,5.0,5.0,2.0,3.0,"Oferta variada, comportamiento, equipamiento","Calidad de algunos plásticos, espacio para las piernas en las plazas traseras"
 Hyundai i30 MHEV ,,"3,6"," «Un coche contenido para quien busque un compacto a precio asequible. Lo mejor, una gama de motores diésel y gasolina amplia y fiable. Lo peor: un interior al que haría falta una renovación.» ",1,2,5.0,6.0,2.0,2.0,"Calidad de acabados, tacto de conducción, precio","Diseño aburrido, gama de motores limitada"
 Kia Ceed MHEV ,,,,1,1,7.0,5.0,6.0,2.0,"Diseño, equipamiento, etiqueta ECO","Detalles de acabado, ausencia de ciertos elementos de equipamiento"
 Fiat 500e Hatch eléctrico ,,,,1,1,1.0,1.0,10.0,8.0,,
 Volkswagen T-Roc ,,"3,1",,1,1,1.0,5.0,2.0,3.0,"Capacidad de maletero, posibilidades de equipamiento, tracción total opcional","Detalles de acabado, uso excesivo de plásticos duros, precio algo elevado"
 Volkswagen Tiguan ,,"3,7"," «Lo que más me gusta del Volkswagen Tiguan es la calidad percibida. Buenos materiales, buenos ajustes y mucho espacio para sus dimensiones tan reducidas. Me gustan detalles tan interesantes como el hecho de contar con una banqueta trasera corredera, que puede deslizarse unos centímetros para aumentar el espacio de carga o reducirlo y ganar unos centímetros para las piernas, para el confort de los pasajeros de las plazas traseras. Como ya dije en mi ",1,1,1.0,9.0,2.0,3.0,"Calidad de terminación, comportamiento, motores","Equipo de serie, precio elevado"
 Fiat 500e Cabrio eléctrico ,,,,1,1,1.0,1.0,10.0,8.0,,
 Hyundai Tucson HEV ,,"3,9",,1,1,7.0,7.0,7.0,5.0,"Diseño muy personal, suavidad de conducción, etiqueta ECO","Frontal demasiado llamativo, modo eléctrico algo escaso"
 Kia Stonic MHEV ,,"3,4",,2,1,8.0,5.0,2.0,3.0,"Garantía, posibilidades de equipamiento, motor MHEV","Maletero pequeño, sin tracción total, detalles de acabado"
 Renault Captur ,,"3,4"," «El Renault Captur es un pequeño todocamino que ofrece soluciones especialmente interesantes para familias con niños pequeños. Su diseño es desenfadado, cuenta con tapizados desenfundables para su limpieza en la lavadora y por sus dimensiones es manejable en espacios reducidos, cómodo para la ciudad. El diésel no es demasiado suave y refinado, y salvo que quieras recorrer muchos kilómetros te recomendaría el TCe 90, bastante equilibrado y suficiente para moverte con seguridad en un Captur. Si buscas prestaciones, el TCe 120 es potente y rápido. El Captur también puede adquirirse con un cambio automático de doble embrague, que no es el más rápido de su categoría, pero sí cómodo.» ",1,1,5.0,7.0,2.0,3.0,"Diseño, posibilidades de personalización, banqueta trasera deslizante","Sin tracción total disponible, calidad de algunos plásticos"
 SEAT Arona ,,"3,6",,1,1,7.0,6.0,2.0,3.0,"Maletero, posibilidades de equipamiento y personalización, precio razonable",Calidad de algunos plásticos
 SEAT León ,,"4,4"," «Estética moderna y juvenil en un coche que se aprovecha de lo mejor de la tecnología alemana del Volkswagen Golf, dimensiones contenidas y más posibilidades que nunca gracias a sus nuevas carrocerías de tipo familiar y tres puertas. Te recomiendo mi ",1,2,5.0,5.0,2.0,3.0,"Relación valor-precio, equipamiento completo, versiones híbridas","Detalles de acabado, Ancho plazas traseras"
 Renault Captur MHEV ,,,,1,1,5.0,1.0,6.0,3.0,,
 Hyundai Kona ,,"3,6",,1,1,6.0,5.0,2.0,3.0,"Posibilidades de equipamiento, tracción total disponible, diseño arriesgado, garantía","Aspecto de algunos plásticos, diseño arriesgado, volumen de maletero algo justo"
 Nissan Qashqai ,,"3,4"," «El Nissan Qahsqai es el pionero de una saga de todocaminos de carretera y ciudad, pero su competencia ha crecido imparable en todos estos años. Por eso mismo ha tenido que evolucionar hacia un producto de calidad, con buenos acabados, mucha tecnología y un diseño moderno que lo sitúan entre los mejores de su categoría.» ",1,1,5.0,7.0,2.0,3.0,"Relación tamaño/equipamiento/precio, equilibrio general","Tacto de conducción, maletero pequeño frente a sus rivales"
 SEAT Ateca ,,"4,0",,1,1,7.0,7.0,2.0,3.0,"Comportamiento, habitabilidad, maletero, equipo","Cambio DSG caro, equipamiento en nivel Reference, banqueta trasera no deslizante, diseño interior algo clásico"
 Kia Sportage ,,"3,7"," «Es uno de los SUV compactos más vendidos. Muy atractivo por fuera y buenos acabados por dentro, que mejoran en su reciente actualización. Recomendable el 2.0 CRDi de 136 CV. Lee mi prueba del ",1,1,7.0,7.0,2.0,3.0,"Diseño, presentación, calidad de acabados","Motor 1.6 GDI pobre en prestaciones, precio de los acabados medios-altos"
 SEAT León MHEV ,,,,1,2,5.0,5.0,6.0,3.0,"Diseño, tecnología, dinámica de conducción, etiqueta ECO","Detalles de acabado, eliminación de demasiados botones en el salpicadero"
 Kia Sportage MHEV ,,,,1,1,7.0,7.0,6.0,3.0,"Etiqueta ECO, relación calidad-precio","Imagen algo desgastada por el tiempo, tecnología algo desfasada"
 Hyundai Tucson MHEV ,,"4,0",,1,1,7.0,7.0,2.0,3.0,"Diseño, amplitud, maletero, posibilidad de tracción total","Equipamiento casi cerrado, precios respecto a la anterior generación"
 Nissan X-Trail ,,"3,3",,1,1,5.0,10.0,2.0,3.0,"Amplitud interior, disponibilidad de 7 plazas, confort de marcha, equipamiento muy completo","Calidad de acabados justa, diseño algo visto, ruidos en el interior, tacto de conducción aburrido"
